id,type,agent_type,action_name,object_name,utterance,subgoal_name
Agent_0,Agent,Commander,,,,
Agent_1,Agent,Driver,,,,
Action_1,Action,,Pickup,,,
Action_2,Action,,Forward,,,
Action_3,Action,,Turn Left,,,
Action_4,Action,,Turn Right,,,
Action_5,Action,,Pan Left,,,
Object_1,Object,,,Mug,,
Dialogue_1,Dialogue,,,,Good day! We are preparing breakfast. We first need to wash a dirty mug.,
Subgoal_1,Subgoal,,,,,
Position_1,Position,,,,,
Position_2,Position,,,,,
Position_3,Position,,,,,
Position_4,Position,,,,,
Position_5,Position,,,,,
Position_6,Position,,,,,
Position_7,Position,,,,,
Position_8,Position,,,,,
Position_9,Position,,,,,
Interaction_1,Interaction,,,,,
ImageFrame_1,ImageFrame,,,,,
Agent_0,Agent,Commander,,,,
Agent_1,Agent,Driver,,,,
Action_1,Action,,Move,,,
Action_2,Action,,Rotate,,,
Action_3,Action,,QueryObject,,,
Action_4,Action,,PickupObject,,,
Object_1,Object,,,Mug,,
Object_2,Object,,,Bowl,,
Object_3,Object,,,Statue,,
Object_4,Object,,,Spoon,,
Object_5,Object,,,DishSponge,,
Object_6,Object,,,Vase,,
Object_7,Object,,,Bread,,
Object_8,Object,,,ButterKnife,,
Object_9,Object,,,SaltShaker,,
Object_10,Object,,,Knife,,
Object_11,Object,,,Spatula,,
Object_12,Object,,,Plate,,
Object_13,Object,,,Egg,,
Object_14,Object,,,Tomato,,
Object_15,Object,,,Sink,,
Position_1,Position,,,,,
Position_2,Position,,,,,
Position_3,Position,,,,,
Position_4,Position,,,,,
Position_5,Position,,,,,
Position_6,Position,,,,,
Position_7,Position,,,,,
Position_8,Position,,,,,
Position_9,Position,,,,,
Position_10,Position,,,,,
Position_11,Position,,,,,
Dialogue_1,Dialogue,,,,Good day! We are preparing breakfast. We first need to wash a dirty mug.,
Subgoal_1,Subgoal,,,,,Navigate
Subgoal_2,Subgoal,,,,,Mug
Subgoal_3,Subgoal,,,,,Pickup
Subgoal_4,Subgoal,,,,,Wash
Interaction_1,Interaction,,,,,
ImageFrame_1,ImageFrame,,,,,
